id,source,reference_number,order_number,customer,ship_date,carrier,shipped,actual_date,pallets,pro,seal,notes,pickup_time,created_at,updated_at,synced_at,excel_row,delayed
62,TP,92277897,"38432, 38433",Walmart,2026-02-02,WM Fleet,0,,,,,,,2026-01-30T12:40:20.682802,2026-02-02T16:06:45.927418,2026-02-02T16:06:45.927418,63,0
63,TP,42883684,38418,Walmart,2026-02-03,FedEx Parcel,0,,,,,,,2026-01-30T12:40:20.682826,2026-02-02T16:06:45.927499,2026-02-02T16:06:45.927499,64,0
64,TP,921743536,38438-38449,Auto Zone,2026-02-03,Titanium,0,,,,,,,2026-01-30T12:40:20.682849,2026-02-02T16:06:45.927580,2026-02-02T16:06:45.927580,65,0
65,TP,92316475,"38451, 38452",Walmart,2026-02-06,WM Fleet,0,,,,,,,2026-01-30T12:40:20.682872,2026-02-02T16:06:45.927659,2026-02-02T16:06:45.927659,66,0
66,TP,92335579,"38492, 38493",Walmart,2026-02-09,WM Fleet,0,,,,,,,2026-01-30T12:40:20.682892,2026-02-02T16:06:45.927734,2026-02-02T16:06:45.927734,67,0
67,TP,,38495-38506,Auto Zone,,,0,,,,,,,2026-02-02T09:40:51.618523,2026-02-02T16:06:45.927806,2026-02-02T16:06:45.927806,68,0
68,TP,,38453-38459,Home Depot,,,0,,,,,,,2026-02-02T09:40:51.619593,2026-02-02T16:06:45.927880,2026-02-02T16:06:45.927880,69,0
69,TP,SHDC26468537,38488,Menards,,,0,,,,,,,2026-02-02T09:40:51.619630,2026-02-02T16:06:45.927952,2026-02-02T16:06:45.927952,70,0
70,TP,HCDC26474874,38489,Menards,,,0,,,,,,,2026-02-02T09:40:51.619657,2026-02-02T16:06:45.928025,2026-02-02T16:06:45.928025,71,0
71,TP,PLDC26481046,38490,Menards,,,0,,,,,,,2026-02-02T09:40:51.619682,2026-02-02T16:06:45.928095,2026-02-02T16:06:45.928095,72,0
72,TP,ECDC26466443,38491,Menards,,,0,,,,,,,2026-02-02T09:40:51.619706,2026-02-02T16:06:45.928167,2026-02-02T16:06:45.928167,73,0
73,TP,,38460-38487,Target,,,0,,,,,,,2026-02-02T13:50:46.480722,2026-02-02T16:06:45.928251,2026-02-02T16:06:45.928251,74,0
74,TP,,38431,Walmart,,,0,,,,,,,2026-02-02T13:50:46.481092,2026-02-02T16:06:45.928327,2026-02-02T16:06:45.928327,75,0
75,TP,,38494,Walmart,,,0,,,,,,,2026-02-02T13:50:46.481126,2026-02-02T16:06:45.928398,2026-02-02T16:06:45.928398,76,0
